bakłażan,,,,,,,,,,,,,,,,
fasola krzaczasta,truskawki,ogórki,ziemniaki,kapusta,kalarepa,sałata ogrodowa,boćwina,marchew,sałata kędzierzawa,rzodkiewka,burak czerwony,seler zwyczajny,,,,
cykoria warzywna,koper włoski,sałata głowiasta,marchew,fasola tyczkowa,pomidor,,,,,,,,,,,
cykoria endywia,koper włoski,kapusta,por,fasola tyczkowa,,,,,,,,,,,,
groch zwyczajny,koper włoski,ogórki,ziemniaki,kapusta,kalarepa,sałata głowiasta,marchew,rzodkiewka,burak czerwony,,,,,,,
truskawki,fasola krzaczasta,roszpunka,czosnek pospolity,kapusta,sałata głowiasta,por,pietruszka,rzodkiewka,burak czerwony,szpinak warzywny,cebula,,,,,
roszpunka,truskawki,kapusta,kalarepa,szpinak warzywny,cebula,,,,,,,,,,,
koper włoski,cykoria wrzywna,cykoria endywia,groch zwyczajny,ogórki,sałata głowiasta,sałata kędzierzawa,cykoria liściasta,,,,,,,,,
ogórki,faola krzaczasta,groch zwyczajny,koper włoski,czosnek pospolity,kapusta,sałata głowiasta,por,burak czerwony,seler zwyczajny,fasola tyczkowa,cebula,,,,,
ziemniaki,fasola krzaczasta,kapusta,kalarepa,szpinak warzywny,,,,,,,,,,,,
czosnek pospolity,truskawki,ogórki,marchew,burak czerwony,pomidor,,,,,,,,,,,
kapusta,fasola krzaczasta,cykoria endywia,groch zwyczajny,truskawki,roszpunka,ogórki,ziemniaki,por,boćwina,sałata kędzierzawa,cykoria liściasta,rzodkiewka,seler zwyczajny,szpinak warzywny,fasola tyczkowa,pomidor
kalarepa,fasola krzaczasta,groch zwyczajny,roszpunka,sałata głowiasta,por,cykoria liściasta,rzodkiewka,burak czerwony,seler zwyczajny,szpinak warzywny,fasola tyczkowa,,,,,
sałata głowiasta,fasola krzaczasta,cykoria warzywna,groch zwyczajny,truskawki,roszpunka,ogórki,kapusta,kalarepa,por,marchew,rzodkiewka,seler zwyczajny,szpinak warzywny,fasola tyczkowa,pomidor,cebula
por,cykoria endywia,truskawki,roszpunka,ogórki,kapusta,kalarepa,sałata głowiasta,marchew,cykoria liściasta,seler zwyczajny,pomidor,,,,,
boćwina,fasola krzaczasta,kapusta,marchew,rzodkiewka,,,,,,,,,,,,
marchew,fasola krzaczasta,cykoria warzywna,groch zwyczajny,czosnek pospolity,sałata głowiasta,por,boćwina,rzodkiewka,pomidor,cebula,,,,,,
papryka,,,,,,,,,,,,,,,,
pietruszka,truskawki,rzodkiewka,pomidor,,,,,,,,,,,,,
sałata kędzierzawa,fasola krzaczasta,koper włoski,kapusta,rzodkiewka,burak czerwony,pomidor,,,,,,,,,,
cykoria liściasta,koper włoski,kapusta,por,fasola tyczkowa,,,,,,,,,,,,
rzodkiewka,fasola krzaczasta,groch zwyczajny,truskawki,kapusta,kalarepa,sałata głowiasta,boćwina,marchew,pietruszka,sałata kędzierzawa,szpinak warzywny,fasolatyczkowa,pomidor,,,
burak czerwony,fasola krzaczasta,groch zwyczajny,truskawki,ogórki,ziemniaki,czosnek pospolity,kalarepa,sałata kędzierzawa,,,,,,,,
seler zwyczajny,fasola krzaczasta,ogórki,kapusta,kalarepa,sałata głowiasta,por,szpinak warzywny,fasola tyczkowa,pomidor,,,,,,,
szpinak warzywny,ziemniaki,kapusta,kalarepa,rzodkiewka,seler zwyczajny,fasola tyczkowa,pomidor,,,,,,,,,
fasola tyczkowa,cykoria warzywna,cykoria endywia,roszpunka,ogórki,kapusta,kalarepa,sałata głowiasta,cykoria liściasta,rzodkiewka,seler zwyczajny,szpinak warzywny,pomidor,cukinia,,,
pomidor,fasola krzaczasta,cykowia warzywna,sałata głowiasta,por,boćwina,marchew,pietruszka,sałata kędzierzawa,rzodkiewka,burak czerwony,pomidor,cukinia,cebula,,,
cukinia,szpinak warzywny,cebula,,,,,,,,,,,,,,
cebula,truskawki,roszpunka,ogórki,sałata głowiasta,marchew,burak czerwony,cukinia,,,,,,,,,
